s,name
http://example.com/id/102046231b,New Leverkusen Bridge
http://example.com/id/102046887b,Viergelindenbrücke
http://example.com/id/102047714b,Viaduc métro 8 de Charenton
http://example.com/id/1021216b,Bürgermeister-Smidt-Brücke
http://example.com/id/1021703m,Brushmakers' Museum
http://example.com/id/102257148m,Amaiur Arkeologia Zentroa
http://example.com/id/102283031m,A. Philip Randolph Pullman Porter Museum
http://example.com/id/102312434b,Ellis Island National Museum of Immigration
http://example.com/id/102312434m,Ellis Island National Museum of Immigration
http://example.com/id/102326972m,Kutschensammlung Heinz Scheidel
http://example.com/id/102337148m,Morro Bay Skateboard Museum
http://example.com/id/102338641m,Municipal Museum Příbor
http://example.com/id/102393850b,église Saint-Pierre de Génicourt
http://example.com/id/102401443m,Bayt Dakira
http://example.com/id/102452145m,"Temple of Augustus, Cartagena"
http://example.com/id/1024723w,Monastery of San Pedro de Cardeña
http://example.com/id/1025640b,Café Moskau
http://example.com/id/1025825w,Shahr-e Sukhteh
http://example.com/id/1026013m,Caithness Broch Centre
http://example.com/id/102679684m,Dewsbury Bus Museum
http://example.com/id/10275655m,Estação Ciência da Universidade de São Paulo
http://example.com/id/10275730m,Estação Elevatória a Vapor dos Barbadinhos
http://example.com/id/10275807b,Flamengo
http://example.com/id/10275821b,Nasser
http://example.com/id/10275871b,Innsbrucker Platz metro station
http://example.com/id/10275929b,Largo do Machado
http://example.com/id/102762485m,Himalayan Mountaineering Institute museum
http://example.com/id/1027637m,Gorsium/Herculia
http://example.com/id/102765453m,Bengal Natural History Museum
http://example.com/id/102767953m,Deshbandhu Museum
http://example.com/id/10280162b,Olinda Lighthouse
http://example.com/id/10280205b,The Cathedral of Bissau
http://example.com/id/10280390m,Fazenda Capão Alto
http://example.com/id/10280431m,Fazenda Salto Grande
http://example.com/id/1028275b,Truist Field at Wake Forest
http://example.com/id/10283605m,Historical Museum of Senegal
http://example.com/id/10283640m,Fortaleza de São José de Macapá
http://example.com/id/10283905w,Forte de Santa Luzia
http://example.com/id/1028555m,Camera Austria
http://example.com/id/10286368m,Museu da Imagem e do Som do Rio de Janeiro
http://example.com/id/1028759b,Basilica of SS. Peter and Alexander
http://example.com/id/1028985b,Bajcsy-Zsilinszky út
http://example.com/id/10290950m,Grande Hotel de Goiânia
http://example.com/id/102928529m,Acton Scott Working Farm Museum
http://example.com/id/10293286w,Genoa: Le Strade Nuove and the system of the Palazzi dei Rolli
http://example.com/id/1029764m,Gyugyi Collection
http://example.com/id/10298609m,Hotel Globo
http://example.com/id/10300241w,"Collegiate Church, Castle, and Old Town of Quedlinburg"
http://example.com/id/10300396b,Church of Our Lady of Grace of the Jesuits’ College
http://example.com/id/10300690b,Igreja de Santo Antão (Évora)
http://example.com/id/10300880b,Basílica do Bom Jesus do Monte
http://example.com/id/10300967b,"Basilica and Monastery of St. Benedict, Olinda"
http://example.com/id/1030135b,Église Notre-Dame-du-Perpétuel-Secours
http://example.com/id/1030210m,Mäulesmühle
http://example.com/id/10302449m,Cravo Albin Cultural Institute
http://example.com/id/10302528m,Instituto Histórico-Cultural da Aeronáutica
http://example.com/id/10302531m,Instituto Histórico e Geográfico de Alagoas
http://example.com/id/10302546m,Instituto Histórico e Geográfico do Rio Grande do Sul
http://example.com/id/10303489b,Edifício do Tribunal de Justiça de São Paulo
