s,object_type
10333425m,http://example.com/ontology/Museum
10333430m,http://example.com/ontology/Museum
10333433m,http://example.com/ontology/Museum
10333435m,http://example.com/ontology/Museum
10333439m,http://example.com/ontology/Museum
10333443m,http://example.com/ontology/Museum
10333445m,http://example.com/ontology/Museum
10333446m,http://example.com/ontology/Museum
10333447m,http://example.com/ontology/Museum
10333459m,http://example.com/ontology/Museum
10333470m,http://example.com/ontology/Museum
10333473m,http://example.com/ontology/Museum
10333475m,http://example.com/ontology/Museum
10333490m,http://example.com/ontology/Museum
10333492m,http://example.com/ontology/Museum
10333494m,http://example.com/ontology/Museum
10333495m,http://example.com/ontology/Museum
10333496m,http://example.com/ontology/Museum
10333504m,http://example.com/ontology/Museum
10333505m,http://example.com/ontology/Museum
10333519m,http://example.com/ontology/Museum
10333521m,http://example.com/ontology/Museum
10333524m,http://example.com/ontology/Museum
10333525m,http://example.com/ontology/Museum
10333527m,http://example.com/ontology/Museum
10333530m,http://example.com/ontology/Museum
10333544m,http://example.com/ontology/Museum
10333548m,http://example.com/ontology/Museum
10333549m,http://example.com/ontology/Museum
10333565m,http://example.com/ontology/Museum
10333579m,http://example.com/ontology/Museum
10333582m,http://example.com/ontology/Museum
10333586m,http://example.com/ontology/Museum
10333587m,http://example.com/ontology/Museum
10333588m,http://example.com/ontology/Museum
10333594m,http://example.com/ontology/Museum
10333606m,http://example.com/ontology/Museum
10333616m,http://example.com/ontology/Museum
10333623m,http://example.com/ontology/Museum
10333626m,http://example.com/ontology/Museum
10333630m,http://example.com/ontology/Museum
10333634m,http://example.com/ontology/Museum
10333635m,http://example.com/ontology/Museum
10333643m,http://example.com/ontology/Museum
10333645m,http://example.com/ontology/Museum
10333651m,http://example.com/ontology/Museum
10333652m,http://example.com/ontology/Museum
10333659m,http://example.com/ontology/Museum
10333666m,http://example.com/ontology/Museum
10333675m,http://example.com/ontology/Museum
10333677m,http://example.com/ontology/Museum
10333684m,http://example.com/ontology/Museum
10333689m,http://example.com/ontology/Museum
10333691m,http://example.com/ontology/Museum
10333696m,http://example.com/ontology/Museum
10333701m,http://example.com/ontology/Museum
10333707m,http://example.com/ontology/Museum
10333716m,http://example.com/ontology/Museum
10333723m,http://example.com/ontology/Museum
10333730m,http://example.com/ontology/Museum
10333734m,http://example.com/ontology/Museum
10333736m,http://example.com/ontology/Museum
10333737m,http://example.com/ontology/Museum
10333742m,http://example.com/ontology/Museum
10333744m,http://example.com/ontology/Museum
10333749m,http://example.com/ontology/Museum
10333751m,http://example.com/ontology/Museum
10333779m,http://example.com/ontology/Museum
10333783m,http://example.com/ontology/Museum
10333786m,http://example.com/ontology/Museum
10333787m,http://example.com/ontology/Museum
10333791m,http://example.com/ontology/Museum
10333792m,http://example.com/ontology/Museum
10333795m,http://example.com/ontology/Museum
10333796m,http://example.com/ontology/Museum
10333800m,http://example.com/ontology/Museum
10333804m,http://example.com/ontology/Museum
10333805m,http://example.com/ontology/Museum
10333812m,http://example.com/ontology/Museum
10333813m,http://example.com/ontology/Museum
10333814m,http://example.com/ontology/Museum
10333815m,http://example.com/ontology/Museum
10333822m,http://example.com/ontology/Museum
10333826m,http://example.com/ontology/Museum
10333827m,http://example.com/ontology/Museum
10333830m,http://example.com/ontology/Museum
10333843m,http://example.com/ontology/Museum
10333845m,http://example.com/ontology/Museum
10333852m,http://example.com/ontology/Museum
10333862m,http://example.com/ontology/Museum
10333871m,http://example.com/ontology/Museum
10333883m,http://example.com/ontology/Museum
10333888m,http://example.com/ontology/Museum
10333902m,http://example.com/ontology/Museum
10333903m,http://example.com/ontology/Museum
10333905m,http://example.com/ontology/Museum
10333913m,http://example.com/ontology/Museum
10333917m,http://example.com/ontology/Museum
10333923m,http://example.com/ontology/Museum
10333928m,http://example.com/ontology/Museum
10333933m,http://example.com/ontology/Museum
10333942m,http://example.com/ontology/Museum
10333944m,http://example.com/ontology/Museum
10333945m,http://example.com/ontology/Museum
10333953m,http://example.com/ontology/Museum
10333961m,http://example.com/ontology/Museum
10333962m,http://example.com/ontology/Museum
10333968m,http://example.com/ontology/Museum
1033457m,http://example.com/ontology/Museum
10334902m,http://example.com/ontology/Museum
10338552m,http://example.com/ontology/Museum
1034179w,http://example.com/ontology/World_Heritage
10343921m,http://example.com/ontology/Museum
10343928h,http://example.com/ontology/Hotel
10343957m,http://example.com/ontology/Museum
10344021h,http://example.com/ontology/Hotel
10344038w,http://example.com/ontology/World_Heritage
10344050m,http://example.com/ontology/Museum
10344053m,http://example.com/ontology/Museum
1034422b,http://example.com/ontology/Build
10344974m,http://example.com/ontology/Museum
10344996w,http://example.com/ontology/World_Heritage
10345042m,http://example.com/ontology/Museum
10345138m,http://example.com/ontology/Museum
10345140m,http://example.com/ontology/Museum
10346952m,http://example.com/ontology/Museum
10349776m,http://example.com/ontology/Museum
10349778m,http://example.com/ontology/Museum
10349779m,http://example.com/ontology/Museum
10351377b,http://example.com/ontology/Build
10351383b,http://example.com/ontology/Build
10351452b,http://example.com/ontology/Build
10351466b,http://example.com/ontology/Build
10351991w,http://example.com/ontology/World_Heritage
10352192h,http://example.com/ontology/Hotel
10352195h,http://example.com/ontology/Hotel
10352198h,http://example.com/ontology/Hotel
10352202h,http://example.com/ontology/Hotel
10352206h,http://example.com/ontology/Hotel
10352207h,http://example.com/ontology/Hotel
10352211h,http://example.com/ontology/Hotel
10352218h,http://example.com/ontology/Hotel
