s,name
https://www.wikidata.org/wiki/Q2363048,Place Viger
https://www.wikidata.org/wiki/Q23640921,Bowen River Hotel
https://www.wikidata.org/wiki/Q240711,Hotel Chelsea
https://www.wikidata.org/wiki/Q2416198,MGM Grand Detroit
https://www.wikidata.org/wiki/Q2461831,Las Vegas Plaza
https://www.wikidata.org/wiki/Q24693404,Bangor House
https://www.wikidata.org/wiki/Q24971211,El Reno Hotel
https://www.wikidata.org/wiki/Q264203,Vegas World
https://www.wikidata.org/wiki/Q2648096,W San Francisco
https://www.wikidata.org/wiki/Q264858,M Resort
https://www.wikidata.org/wiki/Q280339,Tropicana Las Vegas
https://www.wikidata.org/wiki/Q280910,Vdara
https://www.wikidata.org/wiki/Q28184307,Royal Mail Hotel
https://www.wikidata.org/wiki/Q28184310,Noccundra Hotel
https://www.wikidata.org/wiki/Q2837946,Allerton Hotel
https://www.wikidata.org/wiki/Q2908788,Leonardo City Tower Hotel
https://www.wikidata.org/wiki/Q2928530,Cadillac Hotel
https://www.wikidata.org/wiki/Q2935180,Camlin Hotel
https://www.wikidata.org/wiki/Q2971063,Taagepera Castle
https://www.wikidata.org/wiki/Q3037053,Hilton Athens
https://www.wikidata.org/wiki/Q306000,Abbasi Hotel
https://www.wikidata.org/wiki/Q30644484,Hotel Manger
https://www.wikidata.org/wiki/Q3145454,Clarendon Hotel
https://www.wikidata.org/wiki/Q3145697,Windsor Hotel
https://www.wikidata.org/wiki/Q3153055,InterContinental San Francisco
https://www.wikidata.org/wiki/Q3185653,Joseph Smith Memorial Building
https://www.wikidata.org/wiki/Q3359202,Wyndham Grand İzmir Özdilek
https://www.wikidata.org/wiki/Q3389734,Place Bonaventure
https://www.wikidata.org/wiki/Q3414568,Quinta das Lágrimas
https://www.wikidata.org/wiki/Q34204337,Waldorf Astoria Dubai Palm Jumeirah
https://www.wikidata.org/wiki/Q3471438,San Francisco Marriott Marquis
https://www.wikidata.org/wiki/Q3482309,Shiodome Media Tower
https://www.wikidata.org/wiki/Q3498798,Hilton San Francisco Union Square
https://www.wikidata.org/wiki/Q3699364,Culver Hotel
https://www.wikidata.org/wiki/Q38251423,Mosborough Hall
https://www.wikidata.org/wiki/Q38251968,Bonneville Hotel
https://www.wikidata.org/wiki/Q4040675,Hilton Prague
https://www.wikidata.org/wiki/Q4260261,Price Tower
https://www.wikidata.org/wiki/Q4261384,Las Vegas Club
https://www.wikidata.org/wiki/Q4272608,Fairmont San Francisco
https://www.wikidata.org/wiki/Q4272804,Breakers Hotel
https://www.wikidata.org/wiki/Q43371249,Brooks Hotel
https://www.wikidata.org/wiki/Q44406603,Hampshire House
https://www.wikidata.org/wiki/Q4479814,West Baden Springs Hotel
https://www.wikidata.org/wiki/Q456685,Ambassador Hotel
https://www.wikidata.org/wiki/Q47004857,Brandt Hotel
https://www.wikidata.org/wiki/Q4792350,Arlington Hotel
https://www.wikidata.org/wiki/Q4792350,Arlington Hotel
https://www.wikidata.org/wiki/Q4793581,Arminius Hotel
https://www.wikidata.org/wiki/Q4806513,Hilton Istanbul Bosphorus
https://www.wikidata.org/wiki/Q4822225,Hilton Izmir
https://www.wikidata.org/wiki/Q4841991,Baglioni Hotel
https://www.wikidata.org/wiki/Q4842213,Baha Mar
https://www.wikidata.org/wiki/Q48843972,Booth Hotel
https://www.wikidata.org/wiki/Q4949600,Boulder Station
https://www.wikidata.org/wiki/Q4979998,Bryan Building
https://www.wikidata.org/wiki/Q4985118,Texas Station
https://www.wikidata.org/wiki/Q5061223,Central House Hotel
https://www.wikidata.org/wiki/Q5065298,Cerulean Tower
https://www.wikidata.org/wiki/Q510121,Schlosshotel Kronberg
https://www.wikidata.org/wiki/Q5120095,Cimarron Hotel
https://www.wikidata.org/wiki/Q5152499,Commercial Hotel
https://www.wikidata.org/wiki/Q5152499,Commercial Hotel
https://www.wikidata.org/wiki/Q5179785,Coworth House
https://www.wikidata.org/wiki/Q5189543,Crowne Plaza Times Square
https://www.wikidata.org/wiki/Q51956193,Fort Piqua Plaza
https://www.wikidata.org/wiki/Q5230243,Davenport Hotel
https://www.wikidata.org/wiki/Q5302326,Dousman Hotel
https://www.wikidata.org/wiki/Q5330926,Eastside Cannery
https://www.wikidata.org/wiki/Q5351073,El Cortez
https://www.wikidata.org/wiki/Q54427554,Dalmatia Tower
https://www.wikidata.org/wiki/Q5472026,Fort Shelby Hotel
https://www.wikidata.org/wiki/Q54873914,Clarke Hotel
https://www.wikidata.org/wiki/Q550379,Conrad Dubai
https://www.wikidata.org/wiki/Q55075422,Hippee Building
https://www.wikidata.org/wiki/Q55347999,Hilton Barcelona
https://www.wikidata.org/wiki/Q5545987,George Washington House
https://www.wikidata.org/wiki/Q5594404,Grand Central Hotel
https://www.wikidata.org/wiki/Q5594662,Grand Hyatt San Francisco
https://www.wikidata.org/wiki/Q5602124,Greektown Casino Hotel
https://www.wikidata.org/wiki/Q5637110,Hacienda
https://www.wikidata.org/wiki/Q569978,Caesars Palace
https://www.wikidata.org/wiki/Q5764519,Hilton Chennai
https://www.wikidata.org/wiki/Q5764570,Hilton Glasgow
https://www.wikidata.org/wiki/Q5764576,Hilton Hanoi Opera
https://www.wikidata.org/wiki/Q5764648,Hilton London Metropole
https://www.wikidata.org/wiki/Q5764722,Hilton Singapore
https://www.wikidata.org/wiki/Q587108,Yokohama Landmark Tower
https://www.wikidata.org/wiki/Q5872085,Flour factory San José
https://www.wikidata.org/wiki/Q5911169,Hotel Alder
https://www.wikidata.org/wiki/Q5911415,Hilton Podgorica Crna Gora
https://www.wikidata.org/wiki/Q5952911,Hyatt Regency San Francisco
https://www.wikidata.org/wiki/Q60323642,Hoff Building
https://www.wikidata.org/wiki/Q60748351,Harvey Hotel
https://www.wikidata.org/wiki/Q60767158,Oakland Hotel
https://www.wikidata.org/wiki/Q6108856,JR Central Towers
https://www.wikidata.org/wiki/Q6109260,JW Marriott San Francisco Union Square
https://www.wikidata.org/wiki/Q6109264,JW Marriott Las Vegas
https://www.wikidata.org/wiki/Q6117167,Jackson Hotel
https://www.wikidata.org/wiki/Q634258,Veer Towers
https://www.wikidata.org/wiki/Q6411469,King Edward Hotel
https://www.wikidata.org/wiki/Q6439146,Krrish Square
https://www.wikidata.org/wiki/Q6448583,Vakil Caravanserai
https://www.wikidata.org/wiki/Q646339,Hotel Torni
https://www.wikidata.org/wiki/Q6493973,Lassen Hotel
https://www.wikidata.org/wiki/Q65043882,Rickman House
https://www.wikidata.org/wiki/Q656743,Kingdom Centre
https://www.wikidata.org/wiki/Q673627,The International
https://www.wikidata.org/wiki/Q6747847,Mandarin Orchard Singapore
https://www.wikidata.org/wiki/Q6751307,Manor Apartment Hotel
https://www.wikidata.org/wiki/Q6751348,Manor House Hotel
https://www.wikidata.org/wiki/Q6825178,Hilton Beirut Metropolitan Palace
https://www.wikidata.org/wiki/Q6869131,Minor Sod House
https://www.wikidata.org/wiki/Q691491,Paris Las Vegas
https://www.wikidata.org/wiki/Q696927,Oheka Castle
https://www.wikidata.org/wiki/Q7040843,Nisiyama Onsen Keiunkan
https://www.wikidata.org/wiki/Q7126178,Palace Hotel Residential Tower
https://www.wikidata.org/wiki/Q713960,MGM Grand Las Vegas
https://www.wikidata.org/wiki/Q7216435,Hilton Tel Aviv
https://www.wikidata.org/wiki/Q7247936,Professional Building
https://www.wikidata.org/wiki/Q7281354,Hilton Dubai Creek
https://www.wikidata.org/wiki/Q731089,Willard InterContinental Washington
https://www.wikidata.org/wiki/Q737602,Aspire Tower
https://www.wikidata.org/wiki/Q7419570,Santa Fe Station
https://www.wikidata.org/wiki/Q743147,Hotel Negresco
https://www.wikidata.org/wiki/Q7503956,Shrigley Hall
https://www.wikidata.org/wiki/Q7520490,Simonsbath House
https://www.wikidata.org/wiki/Q752939,RMS Queen Mary
https://www.wikidata.org/wiki/Q7553765,Sofitel Chicago Water Tower
https://www.wikidata.org/wiki/Q7575371,Speech House
https://www.wikidata.org/wiki/Q7588502,St. James Hotel
https://www.wikidata.org/wiki/Q7591596,St. Regis Museum Tower
https://www.wikidata.org/wiki/Q7641354,Sunset Station
https://www.wikidata.org/wiki/Q7643550,Superior Oil Company Building
https://www.wikidata.org/wiki/Q7885770,Union Hotel
https://www.wikidata.org/wiki/Q7885775,Union House
https://www.wikidata.org/wiki/Q7988922,Westin Las Vegas
https://www.wikidata.org/wiki/Q7988923,Westin San Francisco Market Street
https://www.wikidata.org/wiki/Q7988926,Westin St. Francis
https://www.wikidata.org/wiki/Q804686,Balboa Inn
https://www.wikidata.org/wiki/Q804702,Balch Hotel
https://www.wikidata.org/wiki/Q896259,Monrepos
https://www.wikidata.org/wiki/Q952861,World Trade Centre Montreal
https://www.wikidata.org/wiki/Q995338,Bryson Apartment Hotel
