s,name
5472556h,Forte de São Sebastião
5475490h,"Four Seasons Hotel building, San Francisco"
5475499h,Four Seasons Hotel Chicago
55185046h,Sint-Antonius van Paduakerk
55346142h,Convent of the Capuchinos
55865629h,Hampton by Hilton Liverpool City Centre
5594050h,Hotel Gran Meliá Don Pepe
5594866h,"Grand Palace Hotel, New Orleans"
5595660h,Brampton Grange
56027180h,former station for biology Plön
56071855h,DoubleTree by Hilton Hotel & Spa Liverpool
56084920h,Clayton Crown Hotel
56085005h,Clayton Hotel Chiswick
56085020h,Clayton Hotel Leeds
56085053h,Clayton Hotel Birmingham
56085075h,Clayton Hotel Belfast
56150916h,Clayton Hotel Cardiff
56194854h,Hilton Garden Inn Orenburg
56214797h,Hilton Garden Inn Novorossiysk
56446735h,Hilton Beijing Capital Airport
5646336h,Hampton by Hilton Liverpool/John Lennon Airport
56478942h,Hilton Kuwait Resort
56522910h,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton"
56598554h,Canopy by Hilton Reykjavik City Centre
56651595h,Clayton Hotel Charlemont
56705491h,"former Hotel Castilla, Toledo"
56711100h,Edifício A Tarde
56827407h,Hilton Garden Inn Puchong
5683588h,Malek al-Tojar House (Yazd)
5705250h,Guged Caravanserai
5710559h,Paasitorni
57297679h,"Gran Vía 74, Madrid"
57385878h,Hampton by Hilton London Luton Airport
57613527h,Palazzo Montemartini
5764637h,Hilton Liverpool City Centre
5764652h,DoubleTree by Hilton Hotel Luxembourg
5764716h,Safir Sharm Waterfalls Resort
57739907h,Conrad Xiamen
5785660h,Convento Dominico de Nuestra Señora de la Consolación
58069409h,Hampton by Hilton Samara
58086658h,Hilton Garden Inn Ufa Riverside
58229015h,DoubleTree by Hilton Hotel Girona
5878173h,Malekzadeh House (Yazd)
5883194h,Qorban Alizadeh House
5884157h,Khoshnevis Mansion
5885917h,Kasra Vafadari House
5891776h,Moshir Garden
5892374h,Moshir Caravanserai
5894717h,Dr. Hojjat House
5901285h,Alafchian House
5903404h,Hotel Málaga Palacio
5903511h,"Hotel de las Letras, Madrid"
5907540h,Aminabad Caravanserai
5908224h,Shah Abbasi Caravanserai of Bisotun
5912133h,"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton"
59131992h,DoubleTree by Hilton Hotel Minsk
59138963h,Hilton Garden Inn Moscow New Riga
5918301h,Banitaba House
5920727h,Manuchehri House (Kashan)
59209270h,Hilton Istanbul Maslak
59420694h,Clayton Hotel Sligo
