s,museum_name,country_name
http://example.com/id/113310214m,Halesworth and District Museum,United Kingdom
http://example.com/id/113310270m,Saxmundham Museum,United Kingdom
http://example.com/id/113310314m,The Suffolk Punch Trust Heritage Museum,United Kingdom
http://example.com/id/113310449m,Morris Motors Museum,United Kingdom
http://example.com/id/113310621m,Bentwaters Cold War Museum,United Kingdom
http://example.com/id/113310920m,Defence of the Nation Museum and Education Centre,United Kingdom
http://example.com/id/113311877m,Museum of The Northamptonshire Regiment,United Kingdom
http://example.com/id/113322894m,Norfolks Golden Fleece Heritage Museum,United Kingdom
http://example.com/id/113323706m,Bawdsey Radar,United Kingdom
http://example.com/id/113324964m,Deal Society Heritage Centre and Victoriana Museum,United Kingdom
http://example.com/id/113330833m,The Zaha Hadid Foundation,United Kingdom
http://example.com/id/113334561m,Deal Museum,United Kingdom
http://example.com/id/113334586m,St John Ambulance Museum,United Kingdom
http://example.com/id/113357026m,North Walsham Heritage Centre,United Kingdom
http://example.com/id/113357145m,St Margaret's Museum,United Kingdom
http://example.com/id/113357272m,Norfolk Motorcycle Museum,United Kingdom
http://example.com/id/113357363m,British Magic Museum,United Kingdom
http://example.com/id/113357382m,Museum of Magic - Davenports Magic Kingdom,United Kingdom
http://example.com/id/113357399m,Laxfield & District Museum,United Kingdom
http://example.com/id/113357818m,Spitfire & Hurricane Memorial Museum,United Kingdom
http://example.com/id/113358737m,RAF Coltishall Heritage Centre,United Kingdom
http://example.com/id/113360215m,The Precinct Toy Collection,United Kingdom
http://example.com/id/113360479m,Easton Farm Park,United Kingdom
http://example.com/id/113360517m,Princess of Wales's Royal Regiment and Queen's Regiment Museum,United Kingdom
http://example.com/id/113360609m,Felixstowe Museum,United Kingdom
http://example.com/id/113360629m,Woodbridge Museum,United Kingdom
http://example.com/id/113360664m,Old Town Gaol,United Kingdom
http://example.com/id/113360701m,RNLI Henry Blogg Museum,United Kingdom
http://example.com/id/113360827m,John Jarrold Printing Museum,United Kingdom
http://example.com/id/113360861m,Norwich Printing Museum,United Kingdom
http://example.com/id/113360995m,Harleston Museum,United Kingdom
http://example.com/id/113361554m,St Peter Hungate Church Museum,United Kingdom
http://example.com/id/113361560m,Hungate Medieval Art,United Kingdom
http://example.com/id/113361577m,Norfolk Museum of Straw Works,United Kingdom
http://example.com/id/113363421m,Compton Down Railway Museum,United Kingdom
http://example.com/id/113363671m,Tigh Iain Dhonnchaidh/cleadale Crofting Museum,United Kingdom
http://example.com/id/113363672m,Upperlands Heritage Museum,United Kingdom
http://example.com/id/113363673m,Boys Brigade Heritage Museum,United Kingdom
http://example.com/id/113363674m,Maccrimmon Piping Heritage Centre,United Kingdom
