p_id,c_id
6172516w,29w
6656875w,884w
6763186w,884w
6898311w,29w
7261843w,668w
7489301w,794w
5790364w,29w
5902611w,29w
5910046w,29w
5910087w,29w
5910547w,29w
5910632w,29w
5910709w,29w
5912161w,29w
5917616w,29w
6021380w,29w
6021397w,29w
6065646w,29w
6122177w,837w
6786247w,884w
6898295w,29w
7126334w,29w
7461875w,889w
7481171w,881w
7562736w,155w
868799w,414w
907052w,28025w
907052w,17w
889902w,837w
952235w,142w
962131w,948w
1013209w,17w
1024723w,29w
272968w,38w
308893w,974w
916230w,29w
1278218w,29w
1335616w,252w
1340954w,843w
1377456w,148w
10914521w,148w
11036331w,148w
11052488w,148w
11054608w,148w
11151508w,148w
11357149w,17w
11376150w,17w
11379141w,17w
11411025w,17w
11415923w,17w
11428445w,17w
11514205w,17w
11555978w,17w
11576219w,17w
11637613w,17w
11642740w,17w
11645001w,17w
11664922w,17w
11681626w,148w
43473w,424w
5197044w,38w
7126276w,38w
7619083w,881w
10942550w,115w
11586447w,17w
12287890w,219w
20650127w,38w
20652595w,38w
20669448w,38w
22687629w,851w
56473964w,38w
58917650w,28w
114439265w,38w
1137661w,1246w
1136998w,213w
1158530w,148w
215429w,31w
231699w,38w
468405w,38w
1026971w,241w
1046891w,408w
1049301w,31w
1049579w,31w
1072125w,17w
1110926w,38w
331603w,668w
374365w,851w
929965w,30w
936884w,34w
938223w,843w
945913w,17w
1438648w,55w
1504317w,41w
1519685w,39w
1577600w,408w
1580293w,408w
1584774w,41w
1630697w,29w
4125922w,159w
4991540w,924w
4991540w,114w
465960w,414w
465960w,155w
471717w,214w
964116w,1019w
1163298w,142w
1163620w,41w
1165327w,408w
1185336w,16w
1233234w,38w
1258082w,41w
501638w,17w
573558w,1042w
588417w,298w
393841w,858w
447441w,183w
2094778w,38w
2212483w,142w
4580w,38w
4580w,39w
4580w,40w
4580w,142w
4580w,183w
4580w,215w
108040345w,145w
108040840w,38w
108040845w,38w
108076648w,1008w
52631w,29w
1535245w,836w
1537302w,142w
1538662w,148w
1542372w,241w
1590899w,1005w
1626365w,79w
838264w,159w
842328w,252w
846967w,702w
523026w,38w
1279458w,38w
1473122w,38w
1768461w,38w
2031943w,38w
7592228w,145w
7827112w,241w
8187798w,45w
8189796w,148w
10275709w,155w
10428494w,668w
10487604w,34w
10624826w,34w
11357710w,17w
11434795w,17w
11436294w,17w
11441985w,17w
11447744w,17w
93643w,17w
106187w,145w
16990w,38w
16544603w,29w
106576680w,29w
106614282w,29w
106614328w,29w
106763948w,29w
106767101w,29w
106774348w,29w
106774422w,29w
106775712w,29w
106840442w,29w
106874890w,29w
106882031w,29w
106882029w,29w
106901412w,29w
106906738w,29w
106916529w,29w
106916913w,29w
4261227w,159w
4299509w,159w
4410694w,212w
4504891w,159w
4894543w,29w
5166337w,29w
5350970w,30w
5369516w,423w
5445622w,1028w
5524023w,45w
5642786w,884w
5717423w,29w
47721w,252w
51812w,38w
186282w,237w
205711w,159w
11476069w,17w
11651650w,17w
11659317w,17w
11681656w,29w
11682913w,29w
11721845w,55w
11745863w,36w
11957751w,20w
12065255w,229w
12158301w,212w
12168656w,212w
12257985w,29w
12386327w,29w
12516225w,252w
64830883w,142w
99020145w,31w
490497w,884w
495241w,884w
495733w,884w
385086w,229w
852433w,685w
873358w,148w
2748597w,17w
2879086w,142w
2881128w,29w
2884262w,29w
2927805w,833w
2989048w,96w
3015170w,971w
3079519w,142w
3096875w,142w
3215406w,142w
3256743w,142w
3311039w,31w
1064331w,233w
1070863w,17w
1126464w,142w
1130947w,29w
1137953w,29w
1146038w,17w
7263w,252w
40729w,810w
43332w,38w
616912w,39w
622865w,28w
629436w,784w
767128w,794w
837642w,414w
943327w,232w
964745w,30w
1921177w,31w
2065592w,298w
2066497w,38w
2083583w,142w
2084394w,38w
112738w,29w
115253w,794w
155188w,843w
1777218w,142w
1787397w,38w
1787480w,38w
1808591w,38w
1812874w,29w
1817089w,142w
1721075w,858w
1722579w,858w
1721920w,79w
1725740w,29w
1736213w,142w
1740567w,858w
1741668w,17w
15241016w,142w
15935866w,148w
15945389w,142w
15945393w,142w
15950372w,142w
16031521w,38w
16094363w,884w
16159079w,29w
16518040w,29w
16735815w,218w
16745669w,218w
17210757w,17w
17633458w,38w
17662936w,145w
17669775w,145w
18006394w,29w
18172786w,29w
18649472w,38w
21711238w,858w
64759822w,159w
1365882w,17w
1400400w,40w
1414019w,29w
1434086w,36w
1455908w,38w
1474363w,962w
5938w,183w
29000652w,403w
29000652w,224w
29000652w,225w
29000652w,236w
52112669w,32w
55312553w,183w
63863168w,30w
64532917w,159w
64532917w,212w
35584069w,219060w
5903071w,29w
5910070w,29w
5911296w,29w
5911924w,29w
5942066w,794w
5953871w,794w
5995726w,43w
6033747w,29w
6102184w,29w
6112670w,148w
6555424w,148w
7126329w,29w
7144236w,837w
7148813w,155w
7419595w,29w
7461890w,889w
7494223w,668w
7568810w,242w
603622w,159w
614212w,224w
219279w,419w
314730w,183w
81150w,711w
81150w,159w
4360240w,159w
4378761w,159w
4504676w,159w
4574494w,20w
4709426w,29w
5087986w,668w
5117120w,29w
5118024w,218w
5477347w,29w
5609778w,668w
5641714w,242w
5722042w,29w
5755441w,29w
5757957w,29w
5758514w,96w
5760923w,29w
5810251w,29w
2198503w,55w
2202439w,183w
2299393w,38w
2315498w,142w
2332862w,31w
2368048w,711w
2368048w,159w
2419297w,159w
2481155w,142w
7818624w,423w
7818931w,17w
7826989w,29w
7882094w,155w
8023299w,408w
8047910w,965w
8248962w,219w
8352475w,29w
8987100w,39w
10359742w,155w
10788178w,881w
10864998w,148w
43176868w,29w
43178356w,29w
48751867w,17w
49787421w,29w
55616283w,843w
106576692w,29w
106603664w,29w
106627791w,29w
106634564w,29w
106634733w,29w
106634759w,29w
106642093w,29w
106650277w,29w
106676066w,29w
106678102w,29w
106704804w,29w
106729760w,29w
106754261w,29w
106757836w,29w
10890897w,148w
10918558w,148w
10949515w,148w
11096692w,148w
11296586w,17w
11357227w,17w
11378467w,17w
11567538w,17w
11648027w,17w
11650613w,17w
11664537w,17w
11918155w,29w
12088330w,159w
12120808w,15180w
12120716w,159w
12120808w,159w
12242699w,79w
12244566w,948w
12258204w,29w
1194252w,668w
1193715w,148w
1224490w,38w
1318387w,117w
1324513w,38w
1330939w,148w
1361324w,96w
211252w,29w
216243w,668w
876451w,750w
930784w,29w
4010w,148w
106884972w,29w
106884973w,29w
106886065w,29w
106888007w,29w
106888014w,29w
3137544w,29w
3138683w,39w
3213480w,717w
3223254w,142w
3272162w,39w
3290373w,38w
3295780w,30w
3346918w,29w
3374972w,155w
3407649w,41w
3505461w,39w
3522009w,668w
64829599w,142w
97641889w,29w
1498242w,1019w
1510389w,96w
1818952w,258w
1862652w,38w
1897419w,43w
1923610w,31w
6730067w,148w
6730196w,148w
7751872w,17w
9696155w,148w
679568w,408w
679114w,183w
1026415w,211w
1055749w,17w
3391360w,155w
3962345w,1049w
3991738w,822w
4310094w,148w
12164w,29w
17839w,38w
45949w,424w
2698156w,38w
2717874w,29w
2724894w,668w
2858167w,29w
3909051w,38w
64762544w,159w
64762573w,159w
64787679w,711w
64810747w,145w
64819269w,145w
64821782w,183w
64822163w,183w
64829135w,142w
19829w,38w
19846w,38w
19850w,38w
910189w,241w
927535w,28w
10810559w,881w
15233334w,29w
15660376w,148w
15661566w,96w
15813909w,183w
16961872w,159w
17255635w,29w
17277938w,836w
17494587w,928w
19285921w,183w
157603w,750w
157603w,155w
56702879w,29w
56702881w,29w
56762075w,29w
56762112w,29w
56786698w,29w
56791720w,29w
56791726w,29w
598892w,38w
665878w,45w
718001w,148w
742315w,155w
3571711w,29w
3581113w,142w
3662629w,38w
65559517w,155w
65643600w,262w
65643607w,262w
65685311w,965w
65827938w,79w
65894506w,1005w
65921574w,1025w
65921575w,1025w
65920625w,114w
65923223w,17w
65944718w,948w
65944810w,948w
65953830w,889w
65953996w,398w
65954003w,398w
65954009w,398w
65954034w,398w
65954032w,398w
65954036w,398w
65954041w,398w
65954048w,398w
65965547w,148w
65966771w,148w
65980441w,148w
66000301w,668w
66000307w,668w
66011647w,29w
66057935w,794w
66057603w,252w
66057600w,252w
118434w,29w
122225w,884w
179506w,739w
188694w,222w
754791w,1030w
833781w,142w
838256w,15180w
838256w,159w
838256w,34266w
838256w,186096w
7505w,159w
4570262w,148w
4579079w,148w
4587786w,148w
4920250w,148w
5582862w,419w
1982368w,408w
1992190w,212w
2031664w,38w
2059598w,159w
2114759w,183w
2160663w,29w
2197993w,928w
540237w,145w
593870w,159w
499552w,148w
508040w,945w
12262837w,29w
12295048w,219w
12390602w,29w
12595557w,884w
12724133w,218w
12881190w,229w
12946982w,837w
13116281w,668w
14545548w,39w
15100730w,55w
15108724w,668w
389269w,142w
457304w,974w
499517w,810w
39231w,17w
1343339w,657w
1778266w,142w
2274974w,794w
2468771w,79w
2603196w,739w
106622545w,29w
106627225w,29w
106627401w,29w
106634835w,29w
106635209w,29w
106641947w,29w
106642141w,29w
106649393w,29w
106655702w,29w
106686775w,29w
106753307w,29w
106755612w,29w
106756751w,29w
106759687w,29w
106763974w,29w
106766594w,29w
106767090w,29w
106771502w,29w
66057943w,794w
66057992w,796w
66058300w,29w
66089879w,17w
66089906w,17w
66111215w,17w
66124367w,17w
66124365w,17w
66124380w,17w
66124381w,17w
66132609w,819w
66132613w,819w
66133758w,423w
66133763w,423w
66133772w,423w
66133964w,842w
66134053w,842w
66145758w,851w
66145797w,851w
66197765w,884w
66207286w,878w
66207325w,878w
66814065w,45w
97353441w,668w
97630210w,29w
100329356w,796w
106581046w,29w
106592096w,29w
106594054w,29w
106594052w,29w
106594820w,29w
106602318w,29w
106602719w,29w
106610204w,29w
106614024w,29w
106614025w,29w
56824962w,29w
59537217w,29w
61055538w,842w
64152043w,29w
64485181w,29w
64485226w,215w
64520671w,20w
64520669w,20w
64532617w,159w
64533634w,159w
64533634w,212w
64590518w,55w
64590524w,35w
64686736w,45w
64686789w,45w
64686803w,45w
64688322w,45w
64705216w,43w
64705293w,43w
64810759w,145w
64811589w,145w
64811613w,145w
64811617w,145w
64821776w,183w
64824447w,183w
64824456w,213w
64824461w,213w
64828706w,142w
64828707w,142w
64828710w,142w
64829483w,142w
4176w,183w
6762281w,884w
6976461w,34w
7069686w,408w
7587704w,145w
7800231w,148w
7818615w,881w
8048278w,17w
8203738w,29w
8987086w,39w
8987580w,39w
9007668w,29w
9034981w,29w
9059484w,29w
9068219w,219w
10344996w,155w
10345027w,155w
45865w,884w
948975w,298w
948975w,414w
948975w,419w
948975w,739w
948975w,736w
948975w,750w
11746661w,36w
12013408w,31w
12168573w,212w
12264881w,29w
12290096w,219w
12397290w,29w
12443091w,668w
12589757w,884w
12593183w,884w
12599700w,884w
12614438w,884w
13511216w,252w
13537132w,212w
14545501w,39w
15522768w,29w
15728389w,29w
55619850w,414w
55619850w,668w
55619850w,17w
55619850w,31w
55619850w,39w
55619850w,142w
55619850w,183w
177549w,858w
18785541w,142w
19406822w,39w
43147883w,29w
43148120w,29w
43176616w,29w
43176651w,29w
64699247w,43w
106590086w,29w
106637537w,29w
50711w,183w
61089w,833w
5994983w,414w
7293002w,668w
10293286w,38w
10444176w,142w
10532185w,34w
10532185w,33w
4492013w,159w
5522381w,148w
5597433w,668w
5794156w,29w
5909860w,29w
5911138w,29w
5937813w,794w
5959353w,794w
6021321w,29w
6021763w,43w
6102071w,29w
6378115w,96w
6549934w,408w
6559265w,794w
1728322w,79w
65617154w,419w
65643540w,262w
65643603w,262w
65643679w,262w
65648486w,30w
65660767w,962w
65921506w,912w
65920624w,114w
65937532w,258w
65937872w,1049w
65944713w,948w
65944720w,948w
65944812w,948w
65953993w,398w
65954006w,398w
65954040w,398w
65954049w,398w
65965323w,148w
65966790w,148w
65980283w,232w
65998127w,668w
66000304w,668w
66004175w,668w
66011634w,29w
66011645w,29w
66011649w,29w
66023239w,252w
66054740w,183w
66057595w,252w
106615187w,29w
106627436w,29w
66545466w,252w
66582204w,252w
107694185w,230w
26721344w,77w
32904732w,223w
42725548w,902w
47800464w,1032w
55306582w,884w
55523908w,142w
64176391w,25279w
64596229w,40w
64955212w,29w
65016468w,38w
65685157w,965w
48605w,811w
17722w,31w
18353w,38w
284817w,1013w
3116466w,39w
3156096w,252w
3279767w,142w
3320252w,29w
3320377w,159w
3328236w,39w
3328247w,39w
3364599w,159w
3372384w,148w
3390174w,29w
3396831w,142w
3397393w,142w
3398340w,29w
3431966w,183w
3477679w,39w
3531702w,29w
3533131w,854w
3896981w,29w
4228743w,159w
4241648w,159w
4241648w,34266w
4261794w,36w
4271072w,159w
4334119w,159w
4359569w,159w
4456495w,159w
4469611w,212w
79395074w,219060w
64861487w,29w
65961372w,148w
66056891w,36w
96098109w,148w
106762537w,227w
107715736w,884w
116448209w,822w
9007153w,29w
9187387w,212w
9187742w,36w
9386781w,36w
10345249w,155w
10724627w,211w
11370708w,17w
21468226w,159w
109929238w,31w
71229w,148w
19868w,38w
23048w,183w
32434w,794w
31416w,159w
215003w,45w
66057941w,794w
66057946w,794w
66057981w,796w
66057985w,796w
66064557w,29w
66064563w,29w
66087932w,17w
66092176w,17w
66111203w,17w
66111209w,17w
66124362w,17w
66124385w,17w
66132601w,819w
66132608w,819w
66132614w,819w
66133228w,833w
66133294w,711w
66133770w,423w
66133769w,423w
66134051w,842w
66197435w,884w
66210484w,265w
66311154w,884w
66438860w,29w
97356733w,668w
97377968w,668w
106580785w,29w
106590081w,29w
106590084w,29w
106599393w,29w
106602678w,29w
106603187w,29w
106610203w,29w
10500933w,34w
10878885w,148w
10889854w,17w
10943106w,17w
10948766w,148w
11070959w,148w
11359978w,17w
11410610w,17w
11429120w,17w
11553669w,17w
11669662w,17w
11680575w,30w
11682361w,29w
11699077w,29w
19838w,38w
19856w,38w
45178w,408w
44615w,148w
1075681w,218w
1121835w,55w
1165562w,691w
1294802w,858w
106766596w,29w
106772377w,29w
106775660w,29w
106781978w,29w
106782969w,29w
106783074w,29w
106861898w,29w
106901418w,29w
106916341w,29w
106916414w,29w
106922411w,29w
106924084w,29w
106925995w,29w
108006749w,851w
108007075w,851w
108040342w,145w
108097006w,298w
205131w,148w
15822252w,183w
15945427w,142w
16190018w,29w
16749640w,218w
16891508w,668w
17134054w,258w
17650705w,145w
17781581w,142w
19407134w,225w
19694104w,29w
19913402w,29w
20042067w,17w
20045209w,17w
20053510w,29w
20083782w,142w
20246727w,96w
21293199w,142w
21515108w,96w
21653043w,17w
21653676w,17w
12842301w,227w
97227420w,227w
106614219w,29w
106614367w,29w
106614406w,29w
106627360w,29w
106634877w,29w
106666281w,29w
106727293w,29w
106752858w,29w
106759343w,29w
106759499w,29w
106760443w,29w
60356947w,215w
63614908w,115w
64151816w,29w
64401614w,142w
64462252w,37w
64462276w,37w
64462277w,37w
64485201w,29w
64495121w,403w
64520529w,20w
64526754w,212w
64526758w,212w
64533640w,159w
64533640w,212w
64559951w,28w
64559956w,28w
64590523w,35w
64686795w,45w
64686800w,45w
64705203w,43w
64797636w,159w
64810761w,145w
64811593w,145w
64811607w,145w
64811609w,145w
64811614w,145w
64811625w,145w
64811634w,145w
495266w,884w
500215w,298w
501103w,298w
505574w,38w
15221022w,38w
15623665w,38w
15965460w,29w
16522830w,750w
16913064w,38w
17132483w,224w
17374397w,183w
20643889w,20w
148083w,15180w
148083w,159w
148083w,34266w
17645160w,145w
17650686w,145w
17663121w,145w
43117936w,29w
43131148w,29w
43148074w,29w
43148790w,29w
43148814w,29w
43149126w,29w
43150756w,29w
43151479w,29w
106594050w,29w
21855817w,29w
22980118w,142w
24503389w,96w
25475308w,29w
25475470w,29w
25999281w,29w
26155340w,29w
26156625w,29w
26258009w,38w
27123972w,29w
28035249w,668w
28220815w,155w
28379793w,34w
29583906w,183w
29583940w,142w
29583944w,183w
29583970w,183w
31024939w,229w
31281632w,29w
37636297w,869w
38253663w,142w
42449594w,29w
42673362w,29w
43090271w,29w
201469w,30w
168518w,796w
2620036w,419w
2789507w,142w
2904503w,34w
2962401w,38w
2962401w,39w
205136w,29w
331409w,142w
334406w,142w
335618w,17w
430626w,17w
43176586w,29w
49646126w,17w
53556453w,229w
55659000w,159w
55758932w,29w
55773615w,29w
56275601w,878w
56546092w,142w
56702863w,29w
56753548w,29w
56762098w,29w
56762097w,29w
56762100w,29w
56824947w,29w
59537317w,29w
632003w,29w
646564w,29w
660758w,38w
814907w,148w
816437w,145w
821860w,29w
751077w,750w
752505w,38w
770459w,142w
770666w,29w
726863w,962w
726863w,965w
726863w,1032w
307268w,805w
319841w,79w
251999w,408w
251873w,183w
255079w,30w
516770w,183w
534596w,801w
11407776w,17w
11423449w,17w
11467749w,17w
11487395w,17w
11489085w,17w
11523143w,17w
11544148w,17w
11689669w,212w
11945001w,29w
12242839w,79w
12264649w,29w
12555944w,813w
12583238w,423w
12584692w,884w
14401911w,29w
14753174w,212w
15268437w,155w
15726137w,423w
583589w,17w
700448w,17w
776113w,29w
181007w,43w
200693w,213w
212773w,774w
212867w,29w
1135796w,408w
491454w,884w
508866w,17w
519907w,183w
530208w,183w
550346w,159w
555360w,1028w
219898w,225w
220951w,159w
295408w,403w
316137w,183w
318196w,183w
327940w,29w
318196w,1747689w
538061w,948w
584285w,55w
616578w,159w
625744w,884w
631128w,16w
584285w,1747689w
839048w,148w
839456w,79w
855003w,55w
940746w,142w
986750w,17w
1013353w,29w
387517w,38w
463179w,30w
847628w,142w
917814w,403w
798018w,29w
815443w,31w
817274w,262w
837285w,31w
474982w,183w
478258w,38w
20655875w,148w
20714332w,30w
20984985w,29w
20985663w,29w
20985667w,29w
21077208w,79w
22667662w,29w
22712523w,29w
22939546w,142w
22997374w,142w
22997449w,142w
25453605w,33w
26272095w,241w
26477027w,96w
27004540w,29w
27702994w,711w
28682698w,17w
28844272w,148w
29583903w,39w
29583900w,142w
29583914w,39w
29583959w,39w
64577165w,218w
65007954w,38w
106581047w,29w
106592097w,29w
1539949w,29w
1573530w,408w
1584958w,408w
1589509w,29w
1648266w,668w
1746901w,183w
1746901w,1747689w
221716w,17w
1013399w,17w
1015194w,424w
1028566w,252w
1046403w,17w
1047061w,148w
597051w,29w
608580w,265w
613720w,843w
1234019w,148w
1241298w,38w
1246842w,29w
15916405w,148w
16190020w,29w
16449586w,29w
16638480w,96w
17029338w,218w
17347087w,39w
17986288w,30w
18540850w,218w
18775974w,55w
18991024w,17w
19407127w,225w
19852577w,148w
20043361w,17w
20052787w,29w
20534933w,29w
20645774w,794w
505935w,145w
507282w,29w
1062357w,419w
1075172w,218w
1086358w,31w
500226w,298w
500764w,298w
500444w,41w
513893w,29w
458821w,183w
463874w,668w
477898w,794w
477251w,183w
20717679w,39w
20901153w,29w
21013568w,29w
21081307w,29w
21963503w,142w
22666758w,29w
22674807w,142w
22829854w,29w
22932202w,142w
24058712w,29w
24082981w,766w
24931501w,159w
25394840w,159w
361060w,29w
384813w,41w
640870w,214w
641741w,183w
663836w,183w
665154w,29w
669194w,29w
735278w,213w
1759226w,17w
1764282w,813w
1787362w,38w
1816823w,142w
1861129w,252w
867537w,148w
876691w,40w
893407w,408w
923921w,801w
924769w,55w
584366w,233w
1868633w,38w
1881679w,31w
1951559w,230w
1984155w,29w
2036701w,414w
387097w,29w
392215w,142w
392877w,155w
432483w,96w
15954398w,29w
16511573w,881w
16552501w,29w
16677650w,229w
16915942w,29w
17498501w,148w
17587697w,29w
18464907w,29w
18482716w,29w
18712797w,38w
18915139w,79w
19753095w,142w
19829180w,142w
19844597w,29w
19883383w,29w
664376w,39w
679173w,183w
684811w,218w
711386w,148w
740076w,41w
451698w,79w
457453w,213w
464566w,145w
555427w,142w
562529w,884w
573975w,183w
576339w,29w
7865260w,145w
9850285w,155w
10351991w,38w
11257230w,45w
12012965w,55w
15602246w,38w
15604681w,858w
15604441w,38w
16434635w,265w
16434635w,232w
336354w,214w
338889w,227w
106833525w,29w
106840443w,29w
106860599w,29w
106862234w,29w
106874888w,29w
106888011w,29w
106938022w,29w
1903w,38w
106661857w,29w
106675111w,29w
106675115w,29w
106675112w,29w
106675116w,29w
106675970w,29w
106675971w,29w
106675969w,29w
106675972w,29w
106676160w,29w
106676230w,29w
106680016w,29w
11747186w,36w
12012848w,55w
12013371w,31w
12217059w,1049w
12390601w,29w
12584758w,884w
12608241w,884w
12731246w,218w
14468710w,29w
14754967w,20w
15274875w,29w
15465087w,159w
15623656w,148w
15726304w,801w
56824948w,29w
59521226w,29w
61119396w,214w
62018908w,878w
64152097w,29w
64418433w,222w
64450694w,184w
64468766w,236w
64485088w,215w
64526926w,212w
64533637w,159w
64533637w,212w
64590520w,183w
64618280w,219w
64682823w,31w
64686788w,45w
64686798w,45w
64686797w,45w
64686804w,45w
64699411w,43w
64705219w,43w
64746361w,159w
64787482w,159w
64787575w,159w
64809869w,145w
64809999w,145w
64810745w,145w
64811582w,145w
64811603w,145w
64811600w,145w
64811605w,145w
64811619w,145w
64811632w,145w
64811646w,145w
64811656w,145w
64811662w,145w
64811660w,145w
64811674w,145w
64811673w,145w
64811729w,145w
64811762w,145w
64811768w,145w
64811792w,145w
64811800w,145w
64811823w,145w
64811870w,145w
64811874w,145w
64811889w,145w
64811907w,145w
64811937w,183w
64811957w,183w
64811965w,183w
64811979w,183w
64811985w,183w
64811995w,183w
64819193w,145w
19830w,38w
19851w,38w
28769w,148w
478417w,38w
480763w,142w
484931w,884w
1015090w,183w
1053880w,114w
1076391w,29w
2362998w,55w
2391905w,142w
1015090w,1747689w
107783704w,55w
108028145w,148w
108040853w,38w
108097007w,298w
536682w,29w
547375w,657w
551256w,183w
4008w,148w
1254826w,117w
1256487w,38w
34123w,38w
41135w,148w
17768w,38w
19824w,38w
5901w,31w
13674w,38w
605897w,668w
607045w,668w
624128w,884w
623448w,29w
625663w,884w
639193w,258w
638250w,142w
1104231w,408w
1105244w,408w
1132299w,858w
1145547w,96w
1150800w,29w
849318w,96w
1010335w,711w
1077596w,1020w
2470834w,786w
2710055w,142w
2840764w,96w
2860218w,805w
1261870w,878w
1262976w,38w
1427246w,117w
1432983w,159w
1473630w,148w
1476235w,17w
64812198w,183w
64812207w,183w
64812238w,183w
64812302w,183w
64812354w,183w
64812362w,183w
64812513w,183w
64812558w,183w
64812567w,183w
64812583w,183w
64812666w,183w
64812679w,183w
64816707w,145w
64816705w,145w
64821763w,183w
64821770w,183w
64821772w,183w
64821777w,183w
64822253w,183w
64828687w,142w
64829417w,142w
64829521w,142w
64830380w,142w
64848313w,29w
64861223w,29w
64862187w,29w
64862527w,29w
64957747w,29w
64987075w,29w
64987077w,29w
64987108w,29w
64987117w,29w
64987131w,29w
64987129w,29w
64987141w,29w
65099480w,408w
65100016w,408w
65121603w,241w
65132029w,774w
65132707w,774w
65334605w,96w
65460837w,96w
65492907w,96w
65494311w,96w
115139w,794w
122281w,142w
152339w,183w
60945w,822w
57951w,183w
43148065w,29w
43148415w,29w
43148508w,29w
43148957w,29w
43149104w,29w
55369197w,38w
64759249w,159w
64759474w,159w
64759920w,159w
64760000w,159w
64760340w,159w
64787245w,159w
64798105w,711w
64811640w,145w
64811649w,145w
64811677w,145w
64811687w,145w
64811706w,145w
64811732w,145w
64811739w,145w
64811771w,145w
64811797w,145w
64811846w,145w
64811904w,145w
64811925w,183w
64811934w,183w
64811943w,183w
64811951w,183w
64811972w,183w
64812004w,183w
64812027w,183w
64812038w,183w
64812043w,183w
64812046w,183w
64812052w,183w
64812115w,183w
64812120w,183w
64812134w,183w
64812195w,183w
64812193w,183w
17645232w,145w
49641014w,17w
52601407w,29w
55231370w,29w
56358614w,794w
56429889w,29w
56702860w,29w
56702861w,29w
56762074w,29w
56762078w,29w
56762099w,29w
56791731w,29w
56791728w,29w
65494394w,96w
65496835w,96w
65497597w,96w
65498521w,96w
65519107w,30w
65531239w,414w
65531400w,414w
65531407w,414w
65531424w,298w
65531440w,298w
25475755w,29w
25931399w,668w
26883023w,29w
29575881w,38w
29583911w,39w
29583908w,142w
29583963w,183w
29583980w,39w
29908605w,928w
31279509w,805w
35973050w,38w
43082214w,29w
43147139w,29w
43147311w,29w
43147468w,29w
43147765w,29w
16434635w,813w
17163322w,38w
17277933w,813w
17277933w,148w
17277933w,232w
17304996w,712w
2046262w,148w
2067282w,29w
2089258w,55w
2117586w,29w
2147036w,730w
2146288w,96w
618394w,148w
618495w,43w
624623w,884w
624623w,18097w
1165035w,159w
1193122w,148w
1202871w,17w
1522939w,408w
1559411w,403w
1568660w,41w
1621200w,159w
22939949w,142w
22997377w,142w
22998467w,142w
24087733w,29w
25377043w,1008w
25378145w,884w
25414759w,96w
28149649w,155w
28670361w,38w
28682780w,17w
29583889w,40w
29583920w,38w
29583952w,40w
29583956w,183w
29583966w,183w
29583969w,183w
29583973w,183w
30028107w,148w
31024834w,229w
38253159w,142w
39258498w,29w
39258498w,45w
41679828w,96w
42524888w,29w
43074263w,29w
43084257w,29w
43094155w,29w
1478558w,145w
1494461w,142w
1505447w,34w
1522451w,96w
2143101w,750w
2149036w,801w
2157178w,159w
2167520w,265w
2166734w,55w
2177952w,858w
2191998w,213w
822842w,810w
838920w,145w
66132604w,819w
66132605w,819w
66132611w,819w
66133226w,833w
66133767w,423w
66134639w,843w
66134817w,843w
66134822w,843w
66145742w,851w
66145781w,851w
66197439w,884w
66198233w,884w
66204303w,858w
66311161w,884w
97288337w,29w
97630177w,29w
97631025w,29w
106580787w,29w
106582909w,29w
106594053w,29w
106594305w,29w
106594703w,29w
106595076w,29w
106602216w,29w
106602317w,29w
106603188w,29w
106603203w,29w
106603495w,29w
106608816w,29w
106614408w,29w
106615175w,29w
106616435w,29w
106616738w,29w
106627435w,29w
106627450w,29w
106627452w,29w
1354033w,29w
1354756w,38w
1384443w,142w
1419214w,96w
211585w,17w
172125w,142w
500796w,298w
500808w,298w
501072w,298w
529923w,43w
3238270w,16w
3287362w,142w
3485434w,148w
3678423w,38w
3848089w,96w
5276996w,398w
5965459w,881w
6547997w,794w
1668684w,183w
1741475w,924w
1760360w,1049w
65970875w,29w
65981310w,148w
65998115w,668w
66023232w,252w
66054700w,183w
66054777w,183w
66054790w,183w
66054796w,183w
66057948w,794w
66057983w,796w
66057993w,796w
66057049w,36w
66057053w,36w
66057598w,252w
66058297w,29w
66058302w,29w
66076021w,29w
66084422w,29w
66088085w,17w
66124373w,17w
66132600w,819w
1630245w,854w
1644597w,38w
1646999w,29w
284125w,183w
338716w,159w
343053w,233w
2179025w,55w
2202410w,31w
2248633w,399w
2254455w,31w
2271780w,38w
2295070w,31w
2301527w,924w
232771w,148w
259173w,145w
272932w,43w
2308778w,159w
2311719w,55w
14690w,159w
15339w,159w
106632478w,29w
106632479w,29w
106635144w,29w
109896173w,858w
110619451w,858w
111318002w,29w
203797w,40w
206234w,142w
206258w,29w
185156w,241w
199618w,30w
1136251w,258w
1246833w,183w
1501940w,29w
1501940w,1747689w
18481471w,29w
18482667w,29w
18923032w,55w
19407128w,225w
19407138w,225w
19407154w,225w
19844626w,29w
20012709w,39w
20053511w,29w
20207875w,17w
20492232w,29w
20492640w,29w
20637540w,17w
20984984w,29w
20985661w,29w
20985669w,29w
21641475w,159w
21653164w,17w
21653806w,17w
22669854w,159w
22936823w,142w
656738w,142w
672456w,233w
680065w,869w
680292w,29w
1438468w,1005w
1448870w,38w
1467901w,252w
1511531w,843w
1516753w,17w
41455w,664w
46650w,408w
15229898w,45w
15278644w,912w
15633188w,159w
16333721w,298w
16489697w,29w
16518820w,29w
16552283w,29w
16574070w,38w
16744235w,218w
16796158w,29w
17226685w,17w
17650485w,145w
17675760w,145w
18110177w,148w
18142167w,884w
18145756w,29w
18481292w,29w
808934w,408w
835315w,183w
844417w,924w
