p_id,c_id
394443w,854w
4243w,794w
12501w,148w
15727412w,858w
15830652w,854w
15830656w,30w
15904183w,148w
16886821w,38w
16963852w,869w
17155656w,399w
20644172w,183w
20963672w,38w
15830652w,200464w
13362w,38w
5762117w,31w
6057341w,29w
10749904w,29w
12125635w,790w
12192954w,1028w
13567081w,854w
15224718w,148w
15255454w,34w
15728398w,954w
15839097w,668w
27964w,298w
27985w,792w
65498982w,96w
65517383w,30w
65531350w,414w
65531415w,750w
65531428w,298w
65531417w,750w
65531445w,298w
65531467w,298w
65531469w,298w
65531476w,298w
65531483w,298w
65531542w,736w
65531553w,736w
65531556w,736w
65531597w,419w
65531615w,419w
65531626w,419w
65531628w,419w
65531641w,419w
65531653w,419w
65531683w,419w
65531694w,419w
65562359w,739w
65562360w,739w
65562361w,739w
106608818w,29w
106612098w,29w
106614027w,29w
106616335w,29w
106622585w,29w
106634785w,29w
106634854w,29w
106635163w,29w
106642630w,29w
106655699w,29w
66089882w,17w
66089902w,17w
66089908w,17w
66089914w,17w
66089912w,17w
66092099w,17w
66111205w,17w
66111211w,17w
66124378w,17w
66124382w,17w
66124384w,17w
66132612w,819w
66133761w,423w
66134825w,843w
66145748w,851w
66145765w,851w
66198228w,884w
66199409w,884w
66204356w,858w
66207331w,878w
66207355w,878w
85884704w,17w
97011004w,38w
97361053w,668w
97361413w,668w
97630175w,29w
97631480w,29w
97631481w,29w
106594302w,29w
106608815w,29w
106610202w,29w
106614022w,29w
106620815w,29w
106634540w,29w
106610360w,29w
106613024w,29w
106613049w,29w
106614015w,29w
106614407w,29w
106620814w,29w
106627451w,29w
106627493w,29w
106627724w,29w
106650997w,29w
106661840w,29w
106676546w,29w
106687065w,29w
106690927w,29w
106772392w,29w
106772597w,29w
43176636w,29w
43176687w,29w
43176909w,29w
43178312w,29w
62069250w,183w
64758537w,159w
64760209w,159w
64760240w,159w
64760268w,159w
64761163w,159w
64761221w,159w
64769499w,159w
64787152w,159w
64787246w,159w
64798093w,159w
64811930w,183w
64811940w,183w
64811948w,183w
64811967w,183w
64811975w,183w
64812029w,183w
64812035w,183w
64822259w,183w
106653769w,29w
106661860w,29w
106675114w,29w
106676161w,29w
106676194w,29w
106679719w,29w
106681523w,29w
106681526w,29w
106681524w,29w
106681525w,29w
106685496w,29w
106686026w,29w
106686024w,29w
106686025w,29w
106686070w,29w
65531404w,414w
65531450w,298w
65531455w,298w
65531485w,298w
65531494w,298w
65531496w,298w
65531501w,298w
65531538w,736w
2946w,142w
106675789w,29w
106675810w,29w
6247w,38w
43148511w,29w
55074735w,96w
55530176w,17w
56044966w,29w
56258744w,38w
56259942w,29w
56702859w,29w
56702864w,29w
56753541w,29w
56762076w,29w
56762081w,29w
56762111w,29w
64398293w,191w
64399662w,142w
64399660w,142w
64418451w,222w
64418664w,222w
64533630w,159w
64533630w,212w
64555530w,29w
64590522w,183w
64618111w,219w
64686805w,45w
64699535w,43w
64705221w,43w
64810512w,145w
64810755w,145w
64811586w,145w
39671w,145w
64759140w,159w
64759473w,159w
64760341w,159w
64798090w,159w
64798098w,159w
64798470w,159w
64812000w,183w
64812011w,183w
64812021w,183w
64812079w,183w
64812129w,183w
64812138w,183w
64812160w,183w
64812205w,183w
64812210w,183w
64812217w,183w
64812220w,183w
64812271w,183w
64812295w,183w
64812330w,183w
64812350w,183w
64812358w,183w
64812405w,183w
64812476w,183w
64812489w,183w
64812530w,183w
64812552w,183w
64812593w,183w
64812693w,183w
64816567w,145w
64816692w,145w
64816698w,145w
64816697w,145w
64816702w,145w
64816701w,145w
64830443w,142w
64860985w,29w
64861198w,29w
64861219w,29w
64987060w,29w
64987078w,29w
64987079w,29w
64987102w,29w
64987112w,29w
64987127w,29w
64987128w,29w
64987147w,29w
65007091w,232w
65007107w,232w
65007109w,232w
65007948w,38w
65010552w,38w
65016566w,38w
65017043w,38w
65028275w,38w
65028278w,38w
65028375w,38w
65028547w,38w
65099438w,408w
65099452w,408w
65121471w,241w
65335267w,96w
64812350w,1747689w
64812049w,183w
64812061w,183w
64812084w,183w
64812146w,183w
64812155w,183w
64812242w,183w
64812275w,183w
64812290w,183w
64812346w,183w
64812371w,183w
64812385w,183w
64812423w,183w
64812439w,183w
64812480w,183w
64812485w,183w
64812505w,183w
64812541w,183w
64812580w,183w
64812589w,183w
64812602w,183w
64812788w,183w
64816694w,145w
64816693w,145w
64816706w,145w
64822093w,183w
64822101w,183w
64822235w,183w
64831173w,142w
64850369w,29w
64860841w,29w
64957051w,29w
64983846w,29w
64987059w,29w
64987062w,29w
64987083w,29w
64987091w,29w
64987098w,29w
64987121w,29w
64987140w,29w
64987145w,29w
65007965w,38w
65017042w,38w
65028276w,38w
65099447w,408w
65099466w,408w
65099994w,408w
65100021w,408w
65100032w,408w
65121669w,241w
65121823w,241w
65122084w,241w
65465034w,96w
65465088w,96w
65494476w,96w
65494658w,96w
65497485w,96w
65498089w,96w
29265w,145w
189764w,142w
106660676w,29w
106660682w,29w
106660855w,29w
106675780w,29w
106686750w,29w
106715350w,29w
106727292w,29w
106753187w,29w
106753309w,29w
106755036w,29w
106755215w,29w
106755980w,29w
106770951w,29w
106770948w,29w
178124w,189w
180402w,30w
214944w,43w
215897w,38w
